Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
US/Lebanon,4,5,411,"1,451"
US/Liberia,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,2,3,280,"2,500"
US/Liechtenstein,50,86,"70,408","103,875"
US/Luxembourg,27,41,"90,174","54,300"
US/Malaysia,3,7,"5,775","10,248"
US/Malta,1,1,500,750
US/Mexico,62,134,"403,646","980,206"
US/Netherlands,211,508,"481,960","730,100"
US/New Zealand,3,4,"49,403","4,026"
US/Nicaragua,1,2,282,397
US/Norway,7,47,"13,279","36,439"
US/Pakistan,1,1,423,485
US/Panama,51,68,"49,522","72,331"
US/Paraguay,1,1,236,270
US/Peru,1,1,100,280
US/Philippines,10,11,"6,863","3,692"
US/Portugal,2,3,"6,733","3,269"
US/Qatar,1,1,219,"2,180"
US/Saudi Arabia,28,58,"17,393","103,777"
US/Singapore,6,102,"106,015","247,926"
US/South Africa,7,10,"9,818","23,521"
US/Spain,25,101,"39,402","45,990"
US/Sweden,14,38,"25,651","922,263"
US/Switzerland,208,479,"367,322","377,152"
US/Thailand,3,6,"2,486","5,966"
US/Trinidad and Tobago,1,1,20,200
US/Turkey,1,3,753,752
US/United Arab Emirates,2,4,"1,250","2,920"
US/United Kingdom,252,767,"989,945","1,243,791"
US/Uruguay,2,2,655,960
US/Vanuatu,1,1,883,"1,790"
US/Venezuela,38,57,"61,560","65,024"
US/Viet Nam,1,1,11,"10,100"
US/Virgin Islands (British),17,37,"283,512","53,278"
US/998 - No Foreign Investor Listed,21,45,"181,681","114,226"
US/999 - No Predominant Country Code,60,130,"280,228","374,922"
Subtotal 3/,"2,543","8,085","9,670,068","14,426,326"
Total All Landholdings,"9,082","23,657","27,455,663","46,937,398"
