Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
US/Netherlands,216,682,"3,012,856","4,150,883"
US/New Zealand,3,4,"49,403","4,026"
US/Nicaragua,1,2,282,397
US/Norway,6,10,"9,623","28,585"
US/Pakistan,1,1,423,485
US/Panama,52,68,"50,041","70,647"
US/Paraguay,1,1,236,270
US/Peru,1,1,100,280
US/Philippines,10,11,"6,863","3,692"
US/Portugal,2,3,"6,733","3,269"
US/Qatar,1,1,219,"2,180"
US/Saudi Arabia,28,57,"16,916","102,999"
US/Singapore,3,10,"92,191","89,254"
US/South Africa,8,14,"10,028","24,438"
US/Spain,30,115,"47,656","49,977"
US/Swaziland,1,1,"1,944","3,000"
US/Sweden,14,38,"24,178","921,679"
US/Switzerland,208,468,"361,221","348,207"
US/Thailand,3,6,"2,486","5,966"
US/Trinidad and Tobago,1,1,20,200
US/Turkey,1,3,753,752
US/United Arab Emirates,3,8,"3,458","14,870"
US/United Kingdom,258,823,"1,009,104","1,232,606"
US/Uruguay,2,2,655,960
US/Vanuatu,1,1,883,"1,790"
US/Venezuela,38,56,"60,920","64,784"
US/Virgin Islands (British),16,35,"283,362","51,554"
US/998 - No Foreign Investor Listed,15,33,"173,583","99,002"
US/999 - No Predominant Country Code,61,224,"274,480","275,739"
Subtotal 3/,"2,541","7,998","12,598,708","18,877,981"
Total All Landholdings,"8,706","20,328","24,841,588","37,220,374"
