Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
US/Liberia,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,2,3,280,"2,500"
US/Liechtenstein,51,86,"70,382","103,191"
US/Luxembourg,26,40,"90,166","54,234"
US/Malaysia,3,7,"5,775","10,248"
US/Malta,1,1,500,750
US/Mexico,62,134,"403,614","966,976"
US/Netherlands,209,496,"479,263","718,981"
US/New Zealand,3,4,"49,403","4,026"
US/Nicaragua,1,2,282,397
US/Norway,7,45,"12,950","35,728"
US/Pakistan,1,1,423,485
US/Panama,53,70,"50,257","73,222"
US/Paraguay,1,1,236,270
US/Peru,1,1,100,280
US/Philippines,10,11,"6,863","3,692"
US/Portugal,2,3,"6,733","3,269"
US/Qatar,1,1,219,"2,180"
US/Saudi Arabia,28,58,"16,979","103,777"
US/Singapore,5,80,"104,210","191,670"
US/South Africa,8,17,"13,728","87,496"
US/Spain,25,101,"39,402","45,990"
US/Sweden,14,38,"24,178","921,679"
US/Switzerland,206,475,"365,768","370,231"
US/Thailand,3,6,"2,486","5,966"
US/Trinidad and Tobago,1,1,20,200
US/Turkey,1,3,753,752
US/United Arab Emirates,3,8,"3,458","14,870"
US/United Kingdom,258,818,"1,006,174","1,221,109"
US/Uruguay,2,2,655,960
US/Vanuatu,1,1,883,"1,790"
US/Venezuela,38,57,"61,560","65,024"
US/Virgin Islands (British),17,37,"283,512","53,278"
US/998 ‐ No Foreign Investor Listed,15,33,"173,583","99,002"
US/999 ‐ No Predominant Country Code,61,116,"259,487","216,140"
Subtotal 3/,"2,551","7,937","9,729,010","14,012,132"
Total All Landholdings,"8,933","22,972","26,792,903","42,304,265"
