Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
Turkey,1,1,38,145,
Turks and Caicos Islands,9,13,"3,292","3,283",
United Arab Emirates,12,41,"6,679","366,428",
United Kingdom,299,631,"710,511","832,561",
United States,3,5,"1,715","5,839",
Uruguay,12,19,"41,889","123,043",
Uzbekistan,1,1,40,420,
Venezuela,99,168,"27,074","107,669",
Viet Nam,1,1,152,930,
Virgin Islands (British),49,80,"75,787","123,914",
Zimbabwe,1,1,230,80,
998 - No Foreign Investor Listed,111,355,"421,767","4,474,626",
999 - No Predominant Country Code,88,168,"459,547","696,712",
Subtotal 2/,,"6,879","18,255","19,621,400","37,917,926"
US/Andorra,,1,1,"3,741","1,300"
US/Argentina,,7,13,"5,346","10,616"
US/Australia,,24,49,"17,846","46,577"
US/Austria,,20,111,"23,091","32,811"
US/Bahamas,,19,43,"42,050","79,383"
US/Barbados,,1,2,82,739
US/Belgium,,34,277,"118,789","172,537"
US/Belize,,1,2,252,660
US/Bermuda,,19,51,"14,413","13,242"
US/Brazil,,8,66,"16,320","44,446"
US/Canada,,386,"1,648","2,700,226","3,607,813"
US/Cayman Islands,,14,31,"34,500","55,484"
US/Channel Islands,,2,10,"1,268","6,296"
US/Chile,,2,4,"9,948","1,374"
US/China,,62,84,"55,616","80,957"
US/Colombia,,16,32,"27,575","55,464"
US/Costa Rica,,4,4,"1,092","7,246"
US/Denmark,,22,56,"364,089","378,060"
US/Dominican Republic,,1,1,589,825
US/Ecuador,,4,4,"2,082","3,335"
US/Egypt,,6,19,"3,061","5,913"
US/El Salvador,,2,2,52,638
US/Finland,,8,116,"214,497","27,364"
US/France,,143,943,"595,715","754,717"
US/Germany,,271,"1,095","842,563","1,063,751"
US/Greece,,4,5,"5,389","66,530"
US/Guatemala,,2,3,412,"1,018"
US/Guyana,,2,3,"1,012","4,819"
US/Honduras,,1,1,37,825
US/Hong Kong,,20,25,"130,694","42,952"
US/India,,5,14,"4,167","17,735"
US/Indonesia,,20,62,"8,515","132,829"
US/Iran (Islamic Republic Of),,5,6,"1,861","5,509"
US/Iraq,,1,1,800,560
US/Ireland,,20,110,"672,865","290,025"
US/Israel,,4,5,505,"12,225"
US/Italy,,38,72,"89,880","90,330"
US/Japan,,236,447,"354,154","2,078,521"
US/Jordan,,2,2,284,"6,500"
US/Kenya,,1,1,32,360
"US/Korea, Republic of",,6,8,938,"11,675"
US/Kuwait,,6,12,"7,558","11,994"
US/Lebanon,,4,5,411,"1,451"
US/Liberia,,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,,2,3,280,"2,500"
US/Liechtenstein,,50,87,"70,417","103,899"
US/Luxembourg,,29,55,"264,086","759,352"
US/Malaysia,,3,7,"5,775","10,248"
US/Malta,1,1,500,750,
US/Mexico,64,138,"414,371","988,161",
US/Netherlands,218,520,"493,731","745,915",
US/New Zealand,3,4,"49,403","4,026",
US/Nicaragua,1,2,282,397,
US/Norway,7,47,"13,279","36,439",
US/Pakistan,1,1,423,485,
US/Panama,51,68,"49,522","72,331",
US/Paraguay,1,1,236,270,
US/Peru,1,1,100,280,
US/Philippines,10,11,"6,863","3,692",
US/Portugal,3,4,"7,166","3,270",
US/Qatar,1,1,219,"2,180",
US/Saudi Arabia,28,58,"17,393","103,777",
US/Singapore,9,115,"107,646","275,402",
US/South Africa,7,10,"9,818","23,521",
US/Spain,26,102,"39,441","46,262",
US/Sweden,14,39,"31,308","924,526",
US/Switzerland,211,478,"366,656","393,118",
US/Thailand,3,6,"2,486","5,966",
US/Trinidad and Tobago,1,1,20,200,
US/Turkey,1,3,753,752,
US/United Arab Emirates,2,4,"1,250","2,920",
US/United Kingdom,254,743,"996,116","1,242,030",
US/Uruguay,2,2,655,960,
US/Vanuatu,1,1,883,"1,790",
US/Venezuela,38,57,"61,560","65,024",
US/Viet Nam,1,1,11,"10,100",
US/Virgin Islands (British),19,40,"287,499","70,357",
US/998 - No Foreign Investor Listed,31,56,"198,565","192,217",
US/999 - No Predominant Country Code,63,135,"282,168","391,558",
Subtotal 3/,"2,625","8,265","10,200,878","15,728,896",
Total All Landholdings,"9,504","26,520","29,822,277","53,646,822",
